series,origin,date,h,model,actual,forecast,abs_err,ape,sq_err
revenue,2018-05-31,2018-06-06,7,linear_regression,26134.4,36246.834370559875,10112.434370559873,38.6939603379449,102261328.89888066
revenue,2018-05-31,2018-06-06,7,sarima,26134.4,22817.83456225486,3316.565437745143,12.690421198669734,10999606.30284563
revenue,2018-05-31,2018-06-06,7,ensemble,26134.4,29532.334466407367,3397.934466407365,13.001769569637586,11545958.637999104
revenue,2018-06-01,2018-06-01,1,naive,32298.92,25111.28,7187.639999999999,22.253499497816026,51662168.76959999
revenue,2018-06-01,2018-06-01,1,seasonal_naive,32298.92,15888.92,16410.0,50.806652358654716,269288100.0
revenue,2018-06-01,2018-06-01,1,linear_regression,32298.92,30255.968342710974,2042.9516572890243,6.325139222268189,4173651.474019971
revenue,2018-06-01,2018-06-01,1,sarima,32298.92,23418.60089366043,8880.319106339568,27.49416731686251,78860067.43041958
revenue,2018-06-01,2018-06-01,1,ensemble,32298.92,26837.284618185702,5461.635381814296,16.90965326956535,29829461.043885794
revenue,2018-06-01,2018-06-07,7,naive,37020.4,25111.28,11909.120000000003,32.16907434819721,141827139.17440006
revenue,2018-06-01,2018-06-07,7,seasonal_naive,37020.4,25111.28,11909.120000000003,32.16907434819721,141827139.17440006
revenue,2018-06-01,2018-06-07,7,linear_regression,37020.4,33954.93315260014,3065.466847399861,8.280480079631394,9397086.992507642
revenue,2018-06-01,2018-06-07,7,sarima,37020.4,22947.576450910536,14072.823549089466,38.013699336283416,198044362.64380702
revenue,2018-06-01,2018-06-07,7,ensemble,37020.4,28451.254801755338,8569.145198244663,23.147089707957406,73430249.42859957
revenue,2018-06-02,2018-06-02,1,naive,25266.62,32298.92,7032.299999999999,27.832373305174965,49453243.28999999
revenue,2018-06-02,2018-06-02,1,seasonal_naive,25266.62,14799.17,10467.449999999999,41.42797889072618,109567509.50249998
revenue,2018-06-02,2018-06-02,1,linear_regression,25266.62,23693.813938619245,1572.8060613807538,6.2248375975130585,2473718.9067160394
revenue,2018-06-02,2018-06-02,1,sarima,25266.62,18753.34985938386,6513.2701406161395,25.778161624372945,42422687.92464179
revenue,2018-06-02,2018-06-02,1,ensemble,25266.62,21223.581899001554,4043.038100998445,16.001499610942993,16346157.086125111
revenue,2018-06-02,2018-06-08,7,naive,26870.41,32298.92,5428.509999999998,20.202557385614877,29468720.820099983
revenue,2018-06-02,2018-06-08,7,seasonal_naive,26870.41,32298.92,5428.509999999998,20.202557385614877,29468720.820099983
revenue,2018-06-02,2018-06-08,7,linear_regression,26870.41,30356.14827507847,3485.738275078471,12.972404496539022,12150371.322347034
revenue,2018-06-02,2018-06-08,7,sarima,26870.41,24330.048495784064,2540.3615042159363,9.454122598858508,6453436.572102254
revenue,2018-06-02,2018-06-08,7,ensemble,26870.41,27343.098385431265,472.6883854312655,1.7591409488402503,223434.3097216166
revenue,2018-06-03,2018-06-03,1,naive,28461.66,25266.62,3195.040000000001,11.225768279151676,10208280.601600006
revenue,2018-06-03,2018-06-03,1,seasonal_naive,28461.66,12523.25,15938.41,55.99957978557821,254032913.3281
revenue,2018-06-03,2018-06-03,1,linear_regression,28461.66,26204.57746291572,2257.0825370842795,7.930256130823991,5094421.579210808
revenue,2018-06-03,2018-06-03,1,sarima,28461.66,22210.041966634337,6251.618033365663,21.96505064485228,39082728.03510276
revenue,2018-06-03,2018-06-03,1,ensemble,28461.66,24207.30971477503,4254.350285224969,14.947653387838129,18099496.349393778
revenue,2018-06-03,2018-06-09,7,naive,29325.079999999998,25266.62,4058.459999999999,13.839553037877472,16471097.571599992
revenue,2018-06-03,2018-06-09,7,seasonal_naive,29325.079999999998,25266.62,4058.459999999999,13.839553037877472,16471097.571599992
revenue,2018-06-03,2018-06-09,7,linear_regression,29325.079999999998,23783.694642228045,5541.385357771953,18.89640320767054,30706951.683329392
revenue,2018-06-03,2018-06-09,7,sarima,29325.079999999998,21246.975715946588,8078.10428405341,27.54674252910277,65255768.82404206
revenue,2018-06-03,2018-06-09,7,ensemble,29325.079999999998,22515.335179087317,6809.7448209126815,23.22157286838666,46372624.52594709
revenue,2018-06-04,2018-06-04,1,naive,28622.4,28461.66,160.7400000000016,0.5615881267818268,25837.347600000514
revenue,2018-06-04,2018-06-04,1,seasonal_naive,28622.4,26702.47,1919.9300000000003,6.707788305662699,3686131.204900001
revenue,2018-06-04,2018-06-04,1,linear_regression,28622.4,38041.525171355315,9419.125171355314,32.90822981774873,88719918.99365927
revenue,2018-06-04,2018-06-04,1,sarima,28622.4,33702.04538487933,5079.645384879332,17.747098024202483,25802797.236125894
revenue,2018-06-04,2018-06-04,1,ensemble,28622.4,35871.78527811733,7249.385278117326,25.32766392097562,52553586.910584226
revenue,2018-06-04,2018-06-10,7,naive,25369.24,28461.66,3092.4199999999983,12.189643836393987,9563061.456399988
revenue,2018-06-04,2018-06-10,7,seasonal_naive,25369.24,28461.66,3092.4199999999983,12.189643836393987,9563061.456399988
revenue,2018-06-04,2018-06-10,7,linear_regression,25369.24,26407.1788246659,1037.9388246659,4.091328020334468,1077317.00374883
revenue,2018-06-04,2018-06-10,7,sarima,25369.24,22685.269859775228,2683.970140224774,10.57962374996166,7203695.713618192
revenue,2018-06-04,2018-06-10,7,ensemble,25369.24,24546.224342220565,823.0156577794369,3.2441478648135966,677354.7729501191
revenue,2018-06-05,2018-06-05,1,naive,30709.36,28622.4,2086.959999999999,6.795843351994308,4355402.041599996
revenue,2018-06-05,2018-06-05,1,seasonal_naive,30709.36,25572.08,5137.279999999999,16.728710725329343,26391645.79839999
revenue,2018-06-05,2018-06-05,1,linear_regression,30709.36,35126.19079283889,4416.8307928388895,14.382685906964161,19508394.252569813
revenue,2018-06-05,2018-06-05,1,sarima,30709.36,28624.45544457301,2084.9045554269906,6.7891501334674205,4346827.005240217
revenue,2018-06-05,2018-06-05,1,ensemble,30709.36,31875.32311870595,1165.9631187059495,3.7967678867483707,1359469.994182504
revenue,2018-06-05,2018-06-11,7,naive,49669.7,28622.4,21047.299999999996,42.37452611954571,442988837.28999984
revenue,2018-06-05,2018-06-11,7,seasonal_naive,49669.7,28622.4,21047.299999999996,42.37452611954571,442988837.28999984
revenue,2018-06-05,2018-06-11,7,linear_regression,49669.7,37227.27211139529,12442.42788860471,25.050338312099147,154814011.76312828
revenue,2018-06-05,2018-06-11,7,sarima,49669.7,30072.612905141097,19597.0870948589,39.45481268229705,384045822.6034852
revenue,2018-06-05,2018-06-11,7,ensemble,49669.7,33649.94250826819,16019.757491731805,32.2525754971981,256632630.0938973
revenue,2018-06-06,2018-06-06,1,naive,26134.4,30709.36,4574.959999999999,17.505509979184517,20930259.001599994
revenue,2018-06-06,2018-06-06,1,seasonal_naive,26134.4,19214.0,6920.4000000000015,26.480041630953842,47891936.16000002
revenue,2018-06-06,2018-06-06,1,linear_regression,26134.4,35637.72747826068,9503.327478260675,36.36328929786287,90313233.1590644
revenue,2018-06-06,2018-06-06,1,sarima,26134.4,29536.983453078254,3402.583453078252,13.019558333377665,11577574.155161923
revenue,2018-06-06,2018-06-06,1,ensemble,26134.4,32587.355465669465,6452.955465669464,24.691423815620265,41640634.2419134
revenue,2018-06-06,2018-06-12,7,naive,40369.0,30709.36,9659.64,23.928360870965346,93308644.92959999
revenue,2018-06-06,2018-06-12,7,seasonal_naive,40369.0,30709.36,9659.64,23.928360870965346,93308644.92959999
revenue,2018-06-06,2018-06-12,7,linear_regression,40369.0,34741.41717476536,5627.58282523464,13.940357267295795,31669688.454875894
revenue,2018-06-06,2018-06-12,7,sarima,40369.0,30092.233388497058,10276.766611502942,25.457075011773743,105611931.98730166
revenue,2018-06-06,2018-06-12,7,ensemble,40369.0,32416.82528163121,7952.174718368791,19.69871613953477,63237082.75146376
revenue,2018-06-07,2018-06-07,1,naive,37020.4,26134.4,10886.0,29.40540890968223,118504996.0
revenue,2018-06-07,2018-06-07,1,seasonal_naive,37020.4,25111.28,11909.120000000003,32.16907434819721,141827139.17440006
revenue,2018-06-07,2018-06-07,1,linear_regression,37020.4,33433.227038363206,3587.1729616367957,9.689719618471965,12867809.8566981
revenue,2018-06-07,2018-06-07,1,sarima,37020.4,26511.090225199874,10509.309774800127,28.387888231353866,110445591.9427095
revenue,2018-06-07,2018-06-07,1,ensemble,37020.4,29972.158631781538,7048.241368218463,19.038803924912923,49677706.38466608
revenue,2018-06-07,2018-06-13,7,naive,34228.8,26134.4,8094.4000000000015,23.647922217547798,65519311.36000002
revenue,2018-06-07,2018-06-13,7,seasonal_naive,34228.8,26134.4,8094.4000000000015,23.647922217547798,65519311.36000002
revenue,2018-06-07,2018-06-13,7,linear_regression,34228.8,34794.85481500431,566.0548150043105,1.6537384162001312,320418.0535895642
revenue,2018-06-07,2018-06-13,7,sarima,34228.8,28571.252506671495,5657.547493328508,16.528617694247263,32007843.63926768
revenue,2018-06-07,2018-06-13,7,ensemble,34228.8,31683.053660837904,2545.7463391620986,7.437439639023566,6480824.423357227
revenue,2018-06-08,2018-06-08,1,naive,26870.41,37020.4,10149.990000000002,37.773856074395596,103022297.00010003
revenue,2018-06-08,2018-06-08,1,seasonal_naive,26870.41,32298.92,5428.509999999998,20.202557385614877,29468720.820099983
revenue,2018-06-08,2018-06-08,1,linear_regression,26870.41,29775.654358056247,2905.2443580562467,10.812058163817548,8440444.780017653
revenue,2018-06-08,2018-06-08,1,sarima,26870.41,31896.09620282568,5025.68620282568,18.703422101954086,25257521.8092724
revenue,2018-06-08,2018-06-08,1,ensemble,26870.41,30835.875280440963,3965.4652804409634,14.757740132885814,15724914.890382728
revenue,2018-06-08,2018-06-14,7,naive,27504.6,37020.4,9515.800000000003,34.59712193596709,90550449.64000006
revenue,2018-06-08,2018-06-14,7,seasonal_naive,27504.6,37020.4,9515.800000000003,34.59712193596709,90550449.64000006
revenue,2018-06-08,2018-06-14,7,linear_regression,27504.6,33547.82603807897,6043.226038078974,21.97169214632816,36520580.94731569
revenue,2018-06-08,2018-06-14,7,sarima,27504.6,30500.562472805603,2995.962472805604,10.892586959292643,8975791.13845947
revenue,2018-06-08,2018-06-14,7,ensemble,27504.6,32024.194255442286,4519.594255442287,16.432139552810394,20426732.233826924
revenue,2018-06-09,2018-06-09,1,naive,29325.079999999998,26870.41,2454.6699999999983,8.370548349740217,6025404.808899991
revenue,2018-06-09,2018-06-09,1,seasonal_naive,29325.079999999998,25266.62,4058.459999999999,13.839553037877472,16471097.571599992
revenue,2018-06-09,2018-06-09,1,linear_regression,29325.079999999998,22826.237657289326,6498.842342710672,22.161379756545156,42234951.795409136
revenue,2018-06-09,2018-06-09,1,sarima,29325.079999999998,22492.516614735803,6832.563385264195,23.299385322270886,46683922.41365292
revenue,2018-06-09,2018-06-09,1,ensemble,29325.079999999998,22659.377136012565,6665.702863987433,22.73038253940802,44431594.67097027
revenue,2018-06-09,2018-06-15,7,naive,26418.56,26870.41,451.84999999999854,1.710350602001012,204168.42249999868
revenue,2018-06-09,2018-06-15,7,seasonal_naive,26418.56,26870.41,451.84999999999854,1.710350602001012,204168.42249999868
revenue,2018-06-09,2018-06-15,7,linear_regression,26418.56,29263.608311452444,2845.048311452443,10.769127126733792,8094299.894498398
revenue,2018-06-09,2018-06-15,7,sarima,26418.56,29113.03547093663,2694.475470936628,10.199176150920518,7260198.063479163
revenue,2018-06-09,2018-06-15,7,ensemble,26418.56,29188.321891194537,2769.7618911945356,10.484151638827155,7671580.93391353
revenue,2018-06-10,2018-06-10,1,naive,25369.24,29325.079999999998,3955.8399999999965,15.593056788457188,15648670.105599971
revenue,2018-06-10,2018-06-10,1,seasonal_naive,25369.24,28461.66,3092.4199999999983,12.189643836393987,9563061.456399988
revenue,2018-06-10,2018-06-10,1,linear_regression,25369.24,25667.588358056382,298.3483580563807,1.176024027745335,89011.74275493833
revenue,2018-06-10,2018-06-10,1,sarima,25369.24,27049.989607119845,1680.7496071198439,6.625147647780713,2824919.2418335094
revenue,2018-06-10,2018-06-10,1,ensemble,25369.24,26358.788982588114,989.5489825881123,3.9005858377630243,979207.1889411681
revenue,2018-06-10,2018-06-16,7,naive,24616.05,29325.079999999998,4709.029999999999,19.129917269423807,22174963.54089999
revenue,2018-06-10,2018-06-16,7,seasonal_naive,24616.05,29325.079999999998,4709.029999999999,19.129917269423807,22174963.54089999
revenue,2018-06-10,2018-06-16,7,linear_regression,24616.05,23274.78274396149,1341.2672560385108,5.448750941107574,1798997.852121076
revenue,2018-06-10,2018-06-16,7,sarima,24616.05,25688.229513234248,1072.1795132342486,4.3556115348898325,1149568.9085992302
revenue,2018-06-10,2018-06-16,7,ensemble,24616.05,24481.506128597866,134.54387140213294,0.5465697031088779,18102.053331873685
revenue,2018-06-11,2018-06-11,1,naive,49669.7,25369.24,24300.459999999995,48.9241126884197,590512356.2115998
revenue,2018-06-11,2018-06-11,1,seasonal_naive,49669.7,28622.4,21047.299999999996,42.37452611954571,442988837.28999984
revenue,2018-06-11,2018-06-11,1,linear_regression,49669.7,36594.62483887451,13075.07516112549,26.32404697657826,170957590.46908075
revenue,2018-06-11,2018-06-11,1,sarima,49669.7,32404.300300884144,17265.399699115853,34.76042677752403,298094026.77022976
revenue,2018-06-11,2018-06-11,1,ensemble,49669.7,34499.462569879324,15170.237430120673,30.54223687705115,230136103.68623427
revenue,2018-06-11,2018-06-17,7,naive,17316.33,25369.24,8052.91,46.504715491100015,64849359.4681
revenue,2018-06-11,2018-06-17,7,seasonal_naive,17316.33,25369.24,8052.91,46.504715491100015,64849359.4681
revenue,2018-06-11,2018-06-17,7,linear_regression,17316.33,25478.34811423682,8162.0181142368165,47.1348034730039,66618539.69712992
revenue,2018-06-11,2018-06-17,7,sarima,17316.33,25878.369919425302,8562.0399194253,49.44488768362176,73308527.58183241
revenue,2018-06-11,2018-06-17,7,ensemble,17316.33,25678.359016831062,8362.02901683106,48.28984557831284,69923529.27832463
revenue,2018-06-12,2018-06-12,1,naive,40369.0,49669.7,9300.699999999997,23.03921325769773,86503020.48999995
revenue,2018-06-12,2018-06-12,1,seasonal_naive,40369.0,30709.36,9659.64,23.928360870965346,93308644.92959999
revenue,2018-06-12,2018-06-12,1,linear_regression,40369.0,34497.5261023018,5871.473897698197,14.544511624509393,34474205.73135126
revenue,2018-06-12,2018-06-12,1,sarima,40369.0,39704.64661903664,664.3533809633591,1.6457018528161687,441365.4147974461
revenue,2018-06-12,2018-06-12,1,ensemble,40369.0,37101.08636066922,3267.913639330778,8.09510673866278,10679259.55412413
revenue,2018-06-12,2018-06-18,7,naive,34488.4,49669.7,15181.299999999996,44.01856856218321,230471869.68999988
revenue,2018-06-12,2018-06-18,7,seasonal_naive,34488.4,49669.7,15181.299999999996,44.01856856218321,230471869.68999988
revenue,2018-06-12,2018-06-18,7,linear_regression,34488.4,37473.44614720091,2985.046147200912,8.655217833245127,8910500.500919009
revenue,2018-06-12,2018-06-18,7,sarima,34488.4,38200.71506503338,3712.3150650333773,10.763952705934104,13781283.14207377
revenue,2018-06-12,2018-06-18,7,ensemble,34488.4,37837.080606117146,3348.6806061171446,9.709585269589615,11213661.801785087
revenue,2018-06-13,2018-06-13,1,naive,34228.8,40369.0,6140.199999999997,17.938694900200993,37702056.03999996
revenue,2018-06-13,2018-06-13,1,seasonal_naive,34228.8,26134.4,8094.4000000000015,23.647922217547798,65519311.36000002
revenue,2018-06-13,2018-06-13,1,linear_regression,34228.8,34765.02901790262,536.2290179026168,1.5666018613057329,287541.5596408049
revenue,2018-06-13,2018-06-13,1,sarima,34228.8,36720.83071816581,2492.0307181658063,7.280508572213476,6210217.100281985
revenue,2018-06-13,2018-06-13,1,ensemble,34228.8,35742.92986803422,1514.1298680342152,4.423555216759615,2292589.25727331
revenue,2018-06-13,2018-06-19,7,naive,34467.02,40369.0,5901.980000000003,17.123557534129738,34833367.92040004
revenue,2018-06-13,2018-06-19,7,seasonal_naive,34467.02,40369.0,5901.980000000003,17.123557534129738,34833367.92040004
revenue,2018-06-13,2018-06-19,7,linear_regression,34467.02,34488.96438817826,21.94438817826449,0.06366778496738183,481.5561725183543
revenue,2018-06-13,2018-06-19,7,sarima,34467.02,37708.929487807,3241.9094878070027,9.405830523807985,10509977.127133062
revenue,2018-06-13,2018-06-19,7,ensemble,34467.02,36098.94693799263,1631.9269379926336,4.734749154387684,2663185.530946013
revenue,2018-06-14,2018-06-14,1,naive,27504.6,34228.8,6724.200000000004,24.44754695578196,45214865.64000006
revenue,2018-06-14,2018-06-14,1,seasonal_naive,27504.6,37020.4,9515.800000000003,34.59712193596709,90550449.64000006
revenue,2018-06-14,2018-06-14,1,linear_regression,27504.6,33360.84359079289,5856.243590792888,21.291869690135062,34295588.994702786
revenue,2018-06-14,2018-06-14,1,sarima,27504.6,34512.49444706253,7007.894447062528,25.478990594527925,49110584.58116982
revenue,2018-06-14,2018-06-14,1,ensemble,27504.6,33936.66901892771,6432.069018927708,23.385430142331494,41371511.864249654
revenue,2018-06-14,2018-06-20,7,naive,28722.99,34228.8,5505.810000000001,19.16865201011455,30313943.756100014
revenue,2018-06-14,2018-06-20,7,seasonal_naive,28722.99,34228.8,5505.810000000001,19.16865201011455,30313943.756100014
revenue,2018-06-14,2018-06-20,7,linear_regression,28722.99,34273.54764649055,5550.55764649055,19.324442359554315,30808690.18701471
revenue,2018-06-14,2018-06-20,7,sarima,28722.99,36334.927290381835,7611.937290381833,26.501200920871515,57941589.312705524
revenue,2018-06-14,2018-06-20,7,ensemble,28722.99,35304.23746843619,6581.247468436191,22.912821640212915,43312818.24079778
revenue,2018-06-15,2018-06-15,1,naive,26418.56,27504.6,1086.0399999999972,4.110897793066682,1179482.881599994
revenue,2018-06-15,2018-06-15,1,seasonal_naive,26418.56,26870.41,451.84999999999854,1.710350602001012,204168.42249999868
revenue,2018-06-15,2018-06-15,1,linear_regression,26418.56,28789.99066496161,2371.4306649616083,8.976381244706783,5623683.398720255
revenue,2018-06-15,2018-06-15,1,sarima,26418.56,31816.67197059387,5398.111970593869,20.433028789585308,29139612.847068824
revenue,2018-06-15,2018-06-15,1,ensemble,26418.56,30303.331317777738,3884.771317777737,14.704705017146038,15091448.191428574
revenue,2018-06-15,2018-06-21,7,naive,27703.58,27504.6,198.9800000000032,0.7182465226515966,39593.04040000127
revenue,2018-06-15,2018-06-21,7,seasonal_naive,27703.58,27504.6,198.9800000000032,0.7182465226515966,39593.04040000127
revenue,2018-06-15,2018-06-21,7,linear_regression,27703.58,32761.05723785163,5057.477237851628,18.255681171356294,25578076.011387333
revenue,2018-06-15,2018-06-21,7,sarima,27703.58,33285.64286664668,5582.06286664668,20.149247377583258,31159425.847195752
revenue,2018-06-15,2018-06-21,7,ensemble,27703.58,33023.35005224915,5319.7700522491505,19.20246427446976,28299953.408806928
revenue,2018-06-16,2018-06-16,1,naive,24616.05,26418.56,1802.510000000002,7.322498938700572,3249042.3001000076
revenue,2018-06-16,2018-06-16,1,seasonal_naive,24616.05,29325.079999999998,4709.029999999999,19.129917269423807,22174963.54089999
revenue,2018-06-16,2018-06-16,1,linear_regression,24616.05,22668.787289002867,1947.2627109971327,7.9105409316162945,3791832.065639903
revenue,2018-06-16,2018-06-16,1,sarima,24616.05,23498.224565097546,1117.8254349024537,4.541043079220483,1249533.7029148599
revenue,2018-06-16,2018-06-16,1,ensemble,24616.05,23083.505927050206,1532.5440729497932,6.225792005418389,2348691.335533541
revenue,2018-06-16,2018-06-22,7,naive,24807.27,26418.56,1611.2900000000009,6.495233050633951,2596255.464100003
revenue,2018-06-16,2018-06-22,7,seasonal_naive,24807.27,26418.56,1611.2900000000009,6.495233050633951,2596255.464100003
revenue,2018-06-16,2018-06-22,7,linear_regression,24807.27,28357.818707019345,3550.548707019345,14.3125330075391,12606396.120916741
revenue,2018-06-16,2018-06-22,7,sarima,24807.27,30603.346763074063,5796.076763074063,23.364428101415683,33594505.843447104
revenue,2018-06-16,2018-06-22,7,ensemble,24807.27,29480.582735046704,4673.312735046704,18.838480554477393,21839851.919549704
revenue,2018-06-17,2018-06-17,1,naive,17316.33,24616.05,7299.7199999999975,42.15512178388837,53285912.07839996
revenue,2018-06-17,2018-06-17,1,seasonal_naive,17316.33,25369.24,8052.91,46.504715491100015,64849359.4681
revenue,2018-06-17,2018-06-17,1,linear_regression,17316.33,24970.034930946393,7653.704930946391,44.19934784649167,58579199.1699931
revenue,2018-06-17,2018-06-17,1,sarima,17316.33,26490.588775710363,9174.258775710361,52.98038773637578,84167024.08369857
revenue,2018-06-17,2018-06-17,1,ensemble,17316.33,25730.311853328378,8413.981853328376,48.589867791433726,70795090.62813921
revenue,2018-06-17,2018-06-23,7,naive,17432.02,24616.05,7184.029999999999,41.21168975253584,51610287.040899985
revenue,2018-06-17,2018-06-23,7,seasonal_naive,17432.02,24616.05,7184.029999999999,41.21168975253584,51610287.040899985
revenue,2018-06-17,2018-06-23,7,linear_regression,17432.02,22550.00605456108,5117.986054561079,29.359684388619787,26193781.25468168
revenue,2018-06-17,2018-06-23,7,sarima,17432.02,26321.835673933238,8889.815673933237,50.9970483852889,79028822.71650906
