static,max_z,multi_0.05,multi_margin_0.05,uni_0.05,uni_margin_0.05,multi_0.1,multi_margin_0.1,uni_0.1,uni_margin_0.1,multi_0.15,multi_margin_0.15,uni_0.15,uni_margin_0.15,seed,feature,date,split,label,kind
False,1.2864441123346784,False,-0.15365282205435143,False,-0.07047043612854409,False,-0.10083198453000447,False,-0.04691310092257439,False,-0.056463776403747945,True,0.001664563395183949,0,weekday,2018-03-21,test,False,
False,0.8615035459170682,False,-0.19794496503802045,False,-0.17190024821191013,False,-0.14518350973822186,False,-0.14836301450856382,False,-0.09782115839351463,False,-0.09294808240924918,0,weekday,2018-03-22,test,False,
False,1.413456237754095,False,-0.14878468834848257,False,-0.07413573708803589,False,-0.07488435740191768,False,-0.04952505234397553,False,-0.054156663585831266,True,0.01072709761440338,0,weekday,2018-03-23,test,False,
False,2.2429209999405346,False,-0.025245622227597186,True,0.08549378729820589,True,0.02526494162916082,True,0.18246684524042256,True,0.05769348882447267,True,0.20666195623979078,0,weekday,2018-03-24,test,True,joint_shift
True,1.8986997043844447,False,-0.07503786299602588,False,-0.025078683818223535,False,-0.028847056723607656,False,-0.00986643858849956,True,0.006742976439109372,True,0.03638985265020278,0,weekday,2018-03-25,test,False,
True,3.3903600447782414,False,-0.08552926758474189,True,0.12981557076530992,False,-0.03892556571659567,True,0.1487601830151285,False,-0.004485709846143604,True,0.17797132328767673,0,weekday,2018-03-26,test,False,
False,1.0111290639886752,False,-0.1390966089082014,False,-0.13883304161349852,False,-0.11599329541879966,False,-0.0618124963397958,False,-0.10067444208621079,False,-0.012943793996416209,0,weekday,2018-03-27,test,False,
False,1.4047072372742286,False,-0.09716924987125636,False,-0.12235771022123287,False,-0.07238325511106186,False,-0.042830127410644736,False,-0.05205246581541173,True,0.0069469359904290595,0,weekday,2018-03-28,test,False,
False,1.9072781389662716,False,-0.08861563514989607,False,-0.010804927201252812,False,-0.06890424488590036,True,0.07750387495959443,False,-0.05214140853829846,True,0.12172893469282431,0,weekday,2018-03-29,test,False,
False,2.120326965531775,False,-0.0316602633541444,True,0.012741696102214872,False,-0.013183217899556676,True,0.08644149465474815,False,-0.0011622885572823982,True,0.12817716522683464,0,weekday,2018-03-30,test,False,
True,5.466914680730198,True,0.012380683499896739,True,0.12391035216519686,True,0.02449416278097505,True,0.21744620881384125,True,0.04674147025362352,True,0.2431986841326863,0,weekday,2018-03-31,test,False,
